date | value
2011-01-03 | 9
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 42
2012-01-11 | 4
2012-01-11 | 452.32
2012-01-11 | 14.32
2040-06-11 | 721.53
2025-04-07 | 824.2
2022-11-22 | 914.1
2022-02-26 | 90.75
2041-07-24 | 600.09
2034-02-07 | 381.79
2047-10-12 | 452.576
2038-03-26 | 72.34
2038-03-01 | 732.3
2036-12-25 | 968.36
2027-02-05 | 805
2028-03-25 | 556
2039-07-08 | 29
2034-03-26 | 902
2035-05-31 | 32
2019-09-14 | 672
2022-05-07 | 944
2045-09-12 | 481
2017-12-02 | 473
2043-12-12 | 871
2011-07-30 | 504
2013-03-02 | 380
2023-03-22 | 611
2031-03-30 | 287
2036-08-31 | 843
2042-04-23 | 998
2039-12-10 | 329
2012-09-16 | 276
2031-02-03 | 794
2039-01-27 | 885
2023-02-26 | 391
2045-07-07 | 31
2034-04-09 | 795
2016-11-20 | 973
2015-06-12 | 299
2023-12-30 | 387
2045-05-06 | 806
2015-05-08 | 134
2049-08-29 | 489
2016-07-22 | 81
2041-02-03 | 936
2032-06-18 | 478
2030-10-23 | 528
2040-04-12 | 906
2019-01-15 | 530
2023-07-18 | 627
2047-01-23 | 141
2025-11-16 | 915
2046-06-10 | 25
2034-07-09 | 125
2024-09-15 | 756
2049-11-10 | 239
2021-10-15 | 467
2044-02-09 | 471
2025-07-26 | 581
2050-12-11 | 321
2043-07-31 | 169
2015-08-23 | 134
2018-11-05 | 24
2040-02-17 | 63
2047-01-26 | 982
2013-09-27 | 673
2023-09-11 | 951
2023-04-06 | 564
2012-01-27 | 215
2046-02-08 | 216
2019-10-19 | 638
2040-01-03 | 623
2022-09-05 | 500
2019-12-26 | 221
2045-01-06 | 398
2034-03-17 | 366
2021-06-22 | 578
2020-09-08 | 815
2035-11-03 | 229
2043-10-13 | 230
2015-10-05 | 999
2034-04-16 | 314
2019-03-05 | 341
2024-11-07 | 31
2026-05-31 | 83
2047-01-14 | 822
2033-09-28 | 396
2042-07-03 | 661
